STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE_ITER,AREA (in sq. km)_ITER,CRIMES AGAINST CHILDREN_ITER,JUVENILES APPREHENDED_ITER,POLICEMEN KILLED_ITER,THEFT CASES REPOERTED_ITER,THEFT VALUE TOTAL_ITER,TOTAL  Dacoity_ITER,TOTAL  Robbery_ITER,TOTAL  Burglary_ITER,TOTAL  Theft_ITER,Total Petty Crime_ITER,Human Rights Violation Cases_ITER,Policemen Chargesheeted_ITER,Polimen Charged_ITER
MANIPUR,2002,2350361,165,160,3,14,0,14,157,82,75,3,8,6,44,255,115,140,64,28,72,12,48,378,0,58,0,10,0,25,1074,0,0,164,2584,71.98,22327.0,-76.78902806959506,0.0,3.0,5163.309352517987,-17209610.398727193,3.0,6.0,44.0,255.0,308.0,3.2893403304057225,0.15166249822136635,0.2181881164738222
MEGHALAYA,2002,2355473,167,58,3,38,0,38,52,10,42,64,2,109,154,392,51,341,9,9,33,8,23,89,0,23,0,0,0,12,419,0,2,71,1664,63.75,22429.0,-47.97177019776791,63.0,9.0,719.0,17518239.0,64.0,109.0,154.0,392.0,719.0,0.0,0.0,0.0
MIZORAM,2002,897758,29,26,5,76,0,76,7,2,5,5,0,7,446,999,30,969,1,26,85,16,27,112,0,73,0,3,0,13,864,0,40,154,2820,88.49,21081.0,-28.36994423077516,49.0,0.0,-13012.690647482013,-153892680.8741688,5.0,7.0,446.0,999.0,1457.0,3.1344232307150786,-0.6714298768204294,0.4171639183864011
NAGALAND,2002,2021622,100,34,5,17,0,17,27,4,23,21,0,110,128,257,81,176,5,10,21,3,6,53,0,1,0,0,0,24,292,17,371,22,1114,67.11,16579.0,-8.2800426126974,9.0,3.0,516.0,25481751.0,21.0,110.0,128.0,257.0,516.0,0.0,0.0,0.0
ODISHA,2002,37472743,1075,1372,58,691,0,691,523,432,91,246,30,945,2884,5268,1028,4240,1598,246,793,12,405,4947,248,1605,188,1167,0,2672,20755,1195,480,4331,47728,64.98,155707.0,384.21717374329205,187.0,7.0,9343.0,186253376.0,246.0,945.0,2884.0,5268.0,9343.0,7.0,2.0,0.0
PUNJAB,2002,24703447,733,728,79,299,0,299,551,354,197,50,83,110,1928,2963,1267,1696,2,373,2716,39,68,4453,166,341,145,944,0,2310,9713,131,0,2249,28794,70.61,50362.0,73.75137978481428,136.0,73.0,-1748.6906474820134,-25574779.976560406,50.0,110.0,1928.0,2963.0,5051.0,0.0,0.0,0.0
RAJASTHAN,2002,57315265,1276,2043,68,1051,0,1051,2587,2019,568,47,33,734,6661,16313,4706,11607,7178,938,7286,63,1130,26519,399,2730,44,5691,0,4670,63787,4535,930,11934,151248,61.04,342239.0,1348.3160121252045,1765.0,33.0,23755.0,550257950.0,47.0,734.0,6661.0,16313.0,23755.0,3.0,1.0,0.0
SIKKIM,2002,549237,13,5,2,6,0,6,9,2,7,0,0,5,66,64,5,59,15,3,48,0,2,50,0,17,0,3,0,7,170,1,10,28,485,69.68,7096.0,-38.67185143574545,2.0,0.0,135.0,726030.0,0.0,5.0,66.0,64.0,135.0,2.3834290114405214,-0.3079430466682709,-0.12871324706069087
TAMIL NADU,2002,63485023,1723,2133,36,534,0,534,1001,714,287,176,25,653,5533,18755,4671,14084,4252,288,2017,121,850,25150,243,1877,1718,1052,0,10125,88680,2097,77,6138,166942,74.53,130060.0,1034.025509738165,632.0,43.0,25117.0,437136618.0,176.0,653.0,5533.0,18755.0,25117.0,6.0,6.0,0.0
TRIPURA,2002,3241485,201,38,1,108,0,108,128,48,80,29,0,56,192,270,51,219,180,12,20,7,40,518,16,128,0,236,0,46,849,0,0,536,3075,74.68,10486.0,1.7092167280111613e+31,7.0,42.0,-3.325033107168129e+39,-2.94899279159812e+43,-5.374440762168738e+21,-2.4151052190794752e+22,-8.032185087560214e+22,-2.3971052929278874e+23,-1.1124670294059222e+24,-8.41507658825347e+29,1.0074721885563676e+30,-2.6053236652267974e+28
